Brand,Model Name,Model Variant,Car Type,Transmission,Fuel Type,Year,Kilometers,Owner,State,Accidental,Car_Age,KM_Per_Year,Price
Ford,Figo,Titanium,Sedan,Manual,Diesel,2020,86093,2nd,Uttar Pradesh,No,6,14348.833333333334,829144
Mahindra,Thar,W11,SUV,Manual,Diesel,2020,103859,1st,Gujarat,No,6,17309.833333333332,1299375
Hyundai,Creta,Sportz,SUV,Automatic,Petrol,2020,74570,1st,Delhi,No,6,12428.333333333334,1989603
Tata,Altroz,XZA+,Hatchback,Manual,Petrol,2022,144765,1st,Delhi,Yes,4,36191.25,898821
Maruti Suzuki,S-Presso,Base,Hatchback,Manual,Diesel,2022,46428,1st,Karnataka,No,4,11607.0,1980000
Renault,Kiger,RXT,SUV,Manual,Petrol,2022,47124,1st,Karnataka,No,4,11781.0,1501500
Honda,Amaze,E,Sedan,Automatic,Petrol,2020,55799,2nd,West Bengal,No,6,9299.833333333334,1144074
Audi,Q5,Technology,Luxury,Manual,Diesel,2020,83945,1st,Gujarat,No,6,13990.833333333334,842160
Honda,City,VX,Sedan,Manual,Diesel,2016,12968,1st,Delhi,No,10,1296.8,585200
Honda,WR-V,E,SUV,Automatic,Diesel,2021,144714,1st,Kerala,No,5,28942.8,1152112
Ford,Aspire,Ambiente,Sedan,Manual,Petrol,2017,162661,1st,Delhi,No,9,18073.444444444445,548625
Mahindra,Bolero,AX5,SUV,Manual,Diesel,2002,54214,1st,Madhya Pradesh,No,24,2258.9166666666665,190921
Maruti Suzuki,Swift,L,Sedan,Manual,Diesel,2012,164904,2nd,Tamil Nadu,No,14,11778.857142857143,546242
Toyota,Urban Cruiser,VX,SUV,Manual,Hybrid,2022,66692,1st,Karnataka,No,4,16673.0,1899166
Honda,Brio,V,Hatchback,Manual,Petrol,2017,117682,2nd,Maharashtra,No,9,13075.777777777777,914760
Maruti Suzuki,Alto,ZX,Hatchback,Manual,Petrol,2008,125559,2nd,Karnataka,No,18,6975.5,646866
Hyundai,Venue,Magna,SUV,Manual,Petrol,2023,29022,1st,Gujarat,No,3,9674.0,1963500
Honda,Amaze,S,Sedan,Automatic,CNG,2022,87466,1st,Gujarat,No,4,21866.5,760049
MG,Hector,Savvy,SUV,Manual,Hybrid,2022,26023,1st,West Bengal,No,4,6505.75,1091475
MG,ZS EV,Style,Luxury,Manual,Diesel,2020,52256,1st,Andhra Pradesh,No,6,8709.333333333334,1636470
Honda,Jazz,S,Sedan,Manual,Petrol,2019,150712,2nd,Kerala,Yes,7,21530.285714285714,179715
Mahindra,TUV300,W4,SUV,Manual,Petrol,2016,74510,1st,Haryana,No,10,7451.0,971963
Maruti Suzuki,WagonR,V,Hatchback,Manual,Petrol,2005,46845,1st,Delhi,No,21,2230.714285714286,1149500
Honda,Amaze,S,Sedan,Manual,Petrol,2018,75094,1st,Telangana,No,8,9386.75,572764
Maruti Suzuki,Dzire,Base,Sedan,Manual,Diesel,2022,68215,2nd,Andhra Pradesh,No,4,17053.75,967335
Tata,Harrier,XZA+,SUV,Manual,Petrol,2020,88159,1st,Gujarat,No,6,14693.166666666666,502425
Maruti Suzuki,Dzire,Z,Sedan,Manual,Diesel,2010,25707,1st,West Bengal,No,16,1606.6875,724185
MG,ZS EV,Sharp,Luxury,Automatic,Diesel,2022,68134,1st,Tamil Nadu,No,4,17033.5,2084346
Maruti Suzuki,S-Presso,ZX,Hatchback,Manual,Petrol,2022,122587,2nd,Rajasthan,No,4,30646.75,812592
Tata,Altroz,XM,Hatchback,Manual,Petrol,2020,36019,1st,Delhi,Yes,6,6003.166666666667,233206
Mahindra,TUV300,AX7,SUV,Manual,CNG,2020,95012,1st,Kerala,No,6,15835.333333333334,906877
Maruti Suzuki,Dzire,ZX,Sedan,Manual,CNG,2013,18116,2nd,Gujarat,No,13,1393.5384615384614,1037860
Hyundai,i20,Base,Hatchback,Manual,Diesel,2012,134618,2nd,Tamil Nadu,No,14,9615.57142857143,439230
Maruti Suzuki,Alto,L,Hatchback,Manual,Diesel,2003,167227,2nd,Bihar,No,23,7270.739130434783,364161
Maruti Suzuki,S-Presso,Base,Hatchback,Manual,Petrol,2022,107287,1st,Telangana,No,4,26821.75,742500
Maruti Suzuki,Alto,L,Hatchback,Manual,Petrol,2008,63443,2nd,Delhi,No,18,3524.6111111111113,622524
Ford,Aspire,Trend,Sedan,Manual,Petrol,2018,137680,1st,Maharashtra,No,8,17210.0,768075
Nissan,Sunny,XL,Sedan,Manual,Petrol,2018,118929,2nd,Karnataka,No,8,14866.125,627627
Toyota,Fortuner,ZX,SUV,Manual,Petrol,2019,149091,1st,Karnataka,Yes,7,21298.714285714286,516932
Audi,Q5,Premium,Luxury,Manual,Diesel,2021,49276,2nd,Maharashtra,No,5,9855.2,532400
Hyundai,Grand i10,SX(O),Hatchback,Manual,Petrol,2021,121555,1st,Maharashtra,No,5,24311.0,1402500
Maruti Suzuki,Swift,ZX,Sedan,Manual,Petrol,2012,80921,3rd+,Delhi,No,14,5780.071428571428,688544
Kia,Sonet,HTX+,SUV,Automatic,CNG,2021,11090,1st,Rajasthan,Yes,5,2218.0,595456
Honda,Brio,V,Hatchback,Manual,Petrol,2016,118091,2nd,Maharashtra,No,10,11809.1,660660
Maruti Suzuki,Celerio,ZX,Hatchback,Manual,Diesel,2020,117486,2nd,Karnataka,No,6,19581.0,1176120
Ford,Endeavour,Trend,SUV,Manual,Petrol,2017,82922,1st,West Bengal,No,9,9213.555555555555,211018
Hyundai,i10,Magna,Hatchback,Manual,Diesel,2008,44374,1st,West Bengal,No,18,2465.222222222222,907500
Honda,Amaze,V,Sedan,Manual,Diesel,2022,165559,1st,Maharashtra,No,4,41389.75,627000
Maruti Suzuki,Swift,Base,Sedan,Automatic,Petrol,2008,14809,1st,Rajasthan,No,18,822.7222222222222,546012
Maruti Suzuki,WagonR,Base,Hatchback,Manual,Diesel,2014,30795,2nd,Madhya Pradesh,No,12,2566.25,367840
Hyundai,Venue,SX,SUV,Manual,Petrol,2022,88445,1st,Andhra Pradesh,No,4,22111.25,520695
Maruti Suzuki,Dzire,Base,Sedan,Manual,Petrol,2010,15335,1st,Delhi,No,16,958.4375,862125
Hyundai,Aura,Magna,Sedan,Manual,Petrol,2020,97247,2nd,Delhi,No,6,16207.833333333334,640041
Tata,Nexon,XT,SUV,Manual,Petrol,2019,143963,1st,Maharashtra,No,7,20566.14285714286,909562
Hyundai,i10,Sportz,Hatchback,Manual,Petrol,2012,15852,1st,Kerala,No,14,1132.2857142857142,574750
Hyundai,Venue,Sportz,SUV,Manual,Diesel,2021,17766,1st,Gujarat,No,5,3553.2,2310000
Maruti Suzuki,Alto,Base,Hatchback,Manual,Petrol,2018,151543,2nd,Andhra Pradesh,No,8,18942.875,877800
Maruti Suzuki,Baleno,Base,Hatchback,Manual,Electric,2020,127768,1st,Karnataka,Yes,6,21294.666666666668,1346770
Skoda,Slavia,L&K,Sedan,Manual,CNG,2023,64383,1st,Punjab,No,3,21461.0,745916
Maruti Suzuki,Alto,V,Hatchback,Manual,Diesel,2011,11880,2nd,Delhi,No,15,792.0,372680
Maruti Suzuki,Alto,Base,Hatchback,Manual,Petrol,2011,17059,2nd,Madhya Pradesh,No,15,1137.2666666666667,827640
Tata,Harrier,XT,SUV,Manual,Petrol,2019,166840,1st,West Bengal,No,7,23834.285714285714,303187
Honda,Brio,E,Hatchback,Manual,Diesel,2013,118110,2nd,Bihar,No,13,9085.384615384615,137940
Honda,City,S,Sedan,Manual,Petrol,2016,151109,2nd,Karnataka,No,10,15110.9,144837
Maruti Suzuki,Swift,L,Sedan,Automatic,Petrol,2005,21943,2nd,Telangana,No,21,1044.904761904762,747745
Maruti Suzuki,Ertiga,Z,MPV,Manual,Petrol,2012,44069,2nd,Delhi,No,14,3147.785714285714,335412
Maruti Suzuki,Celerio,L,Hatchback,Manual,Petrol,2018,169631,1st,Tamil Nadu,No,8,21203.875,665280
Maruti Suzuki,Dzire,Base,Sedan,Automatic,Petrol,2023,172964,2nd,Assam,No,3,57654.666666666664,720736
Mahindra,Thar,W11,SUV,Manual,Diesel,2010,176770,2nd,Delhi,No,16,11048.125,754677
Maruti Suzuki,Dzire,ZX,Sedan,Manual,Petrol,2009,55001,1st,Karnataka,No,17,3235.3529411764707,486031
Tata,Tiago,XZ,Hatchback,Manual,Petrol,2021,87707,1st,Maharashtra,Yes,5,17541.4,896060
Maruti Suzuki,Alto,V,Hatchback,Manual,Diesel,2022,59951,1st,Gujarat,No,4,14987.75,1722600
Maruti Suzuki,Baleno,Z,Hatchback,Manual,Electric,2019,156038,1st,Delhi,No,7,22291.14285714286,1000518
Maruti Suzuki,Celerio,V,Hatchback,Manual,Diesel,2020,141880,1st,Goa,No,6,23646.666666666668,570000
Hyundai,Verna,Base,Sedan,Manual,Petrol,2010,133386,3rd+,Maharashtra,No,16,8336.625,226307
Maruti Suzuki,Dzire,Z,Sedan,Automatic,Petrol,2021,158775,1st,Karnataka,No,5,31755.0,1267323
Nissan,Magnite,XV Premium (O),SUV,Manual,Petrol,2023,141631,2nd,Karnataka,No,3,47210.333333333336,304920
Maruti Suzuki,Swift,Base,Sedan,Manual,Petrol,2022,150962,1st,Karnataka,No,4,37740.5,862125
Toyota,Glanza,G+,Hatchback,Manual,CNG,2022,159356,1st,Maharashtra,No,4,39839.0,1567500
Maruti Suzuki,WagonR,Base,Hatchback,Manual,Petrol,2004,12324,1st,Tamil Nadu,No,22,560.1818181818181,968000
Maruti Suzuki,Dzire,L,Sedan,Manual,Petrol,2014,177601,2nd,West Bengal,No,12,14800.083333333334,546242
Maruti Suzuki,Celerio,Base,Hatchback,Manual,Hybrid,2019,22875,2nd,Kerala,Yes,7,3267.8571428571427,747507
Hyundai,Verna,Sportz,Sedan,Manual,Petrol,2008,136714,3rd+,Delhi,No,18,7595.222222222223,323296
Hyundai,Verna,Magna,Sedan,Manual,CNG,2019,137002,2nd,Maharashtra,No,7,19571.714285714286,183460
Honda,Amaze,VX,Sedan,Manual,CNG,2015,140875,1st,Karnataka,No,11,12806.818181818182,364835
Honda,Brio,V,Hatchback,Automatic,Petrol,2017,104187,1st,Maharashtra,No,9,11576.333333333334,698775
Ford,Aspire,Titanium,Sedan,Automatic,Petrol,2019,33436,1st,Delhi,No,7,4776.571428571428,1046045
Toyota,Glanza,G,Hatchback,Manual,Petrol,2023,17876,1st,Delhi,No,3,5958.666666666667,1320000
Mahindra,TUV300,AX7,SUV,Manual,Petrol,2016,67739,2nd,Maharashtra,No,10,6773.9,804683
Maruti Suzuki,Ignis,Z,Hatchback,Manual,Petrol,2023,77682,1st,Gujarat,No,3,25894.0,1507275
Mahindra,XUV500,AX5,SUV,Manual,Petrol,2017,52275,1st,Maharashtra,No,9,5808.333333333333,1055092
Maruti Suzuki,S-Presso,Base,Hatchback,Manual,Petrol,2021,120489,2nd,Maharashtra,No,5,24097.8,871200
Nissan,Sunny,XV Premium,Sedan,Manual,Petrol,2020,106149,1st,Haryana,No,6,17691.5,1353750
Maruti Suzuki,Dzire,ZX,Sedan,Manual,Diesel,2021,62309,1st,Delhi,No,5,12461.8,1472823
Hyundai,Grand i10,Base,Hatchback,Automatic,Petrol,2017,46682,2nd,Maharashtra,No,9,5186.888888888889,968968
Maruti Suzuki,Dzire,Base,Sedan,Manual,Petrol,2014,148311,3rd+,Maharashtra,No,12,12359.25,161648
Hyundai,i20,Era,Hatchback,Automatic,Petrol,2016,148403,2nd,Karnataka,No,10,14840.3,279510
Maruti Suzuki,Ignis,L,Hatchback,Manual,Petrol,2019,123074,2nd,Delhi,Yes,7,17582.0,100500
Mahindra,TUV300,W6,SUV,Manual,CNG,2019,14815,1st,Uttarakhand,No,7,2116.4285714285716,331668
Maruti Suzuki,Ertiga,L,MPV,Manual,Petrol,2017,142086,2nd,Tamil Nadu,No,9,15787.333333333334,683020
Maruti Suzuki,Dzire,Z,Sedan,Manual,Diesel,2018,72842,1st,Haryana,No,8,9105.25,692524
Maruti Suzuki,Swift,ZX,Sedan,Manual,Diesel,2009,72104,2nd,Kerala,No,17,4241.411764705882,205213
Ford,EcoSport,Titanium+,SUV,Manual,CNG,2014,82561,3rd+,Uttar Pradesh,No,12,6880.083333333333,238055
BMW,X1,Sport,Luxury,Manual,CNG,2013,56857,1st,Andhra Pradesh,No,13,4373.615384615385,950061
Mahindra,Scorpio,AX7,SUV,Manual,Petrol,2018,22757,2nd,Gujarat,No,8,2844.625,1422960
Maruti Suzuki,WagonR,V,Hatchback,Automatic,Diesel,2011,61410,1st,Delhi,No,15,4094.0,521086
Maruti Suzuki,Dzire,ZX,Sedan,Manual,Petrol,2021,47883,1st,Kerala,No,5,9576.6,1364580
Tata,Tigor,XZ,Sedan,Manual,Petrol,2021,30670,1st,Maharashtra,No,5,6134.0,1567500
Honda,Amaze,S,Sedan,Manual,Petrol,2015,157493,1st,Uttar Pradesh,No,11,14317.545454545454,142143
Honda,Amaze,S,Sedan,Manual,Petrol,2021,32016,1st,West Bengal,No,5,6403.2,627000
Hyundai,Aura,SX,Sedan,Manual,Petrol,2021,21207,1st,Uttar Pradesh,No,5,4241.4,1714750
Maruti Suzuki,Dzire,L,Sedan,Manual,Electric,2011,154452,3rd+,Delhi,No,15,10296.8,273121
Renault,Kiger,RXL,SUV,Manual,Diesel,2023,140934,1st,Tamil Nadu,No,3,46978.0,1559250
Maruti Suzuki,Baleno,Base,Hatchback,Manual,Diesel,2019,45605,2nd,Karnataka,No,7,6515.0,1287440
Kia,Seltos,HTE,SUV,Automatic,CNG,2019,161617,1st,Gujarat,No,7,23088.14285714286,316830
Hyundai,Venue,Era,SUV,Automatic,Diesel,2021,158165,2nd,Tamil Nadu,No,5,31633.0,754677
Renault,Kiger,RXL,SUV,Manual,Petrol,2021,10980,1st,Karnataka,Yes,5,2196.0,1099586
Maruti Suzuki,Baleno,L,Hatchback,Manual,Petrol,2018,17304,2nd,Maharashtra,No,8,2163.0,1300992
Maruti Suzuki,Ignis,Z,Hatchback,Manual,Diesel,2017,151230,1st,Maharashtra,No,9,16803.333333333332,788287
Maruti Suzuki,Celerio,Z,Hatchback,Manual,Petrol,2016,49988,1st,Delhi,No,10,4998.8,970200
Maruti Suzuki,Alto,V,Hatchback,Manual,Petrol,2009,88231,2nd,Maharashtra,No,17,5190.058823529412,370550
Hyundai,Grand i10,Era,Hatchback,Manual,Petrol,2014,15439,1st,Bihar,No,12,1286.5833333333333,261250
Renault,Kwid,RXT,Hatchback,Manual,Petrol,2016,154591,2nd,Maharashtra,No,10,15459.1,406560
Renault,Kwid,RXZ,Hatchback,Manual,Petrol,2021,17444,1st,Kerala,No,5,3488.8,855000
Tata,Tigor,XM,Sedan,Manual,Petrol,2018,11826,2nd,Gujarat,Yes,8,1478.25,1022090
Hyundai,Creta,Magna,SUV,Manual,CNG,2017,113235,1st,Gujarat,No,9,12581.666666666666,403239
Tata,Nexon,XE,SUV,Manual,Petrol,2020,33340,1st,Karnataka,No,6,5556.666666666667,924000
Toyota,Innova,ZX,MPV,Manual,Petrol,2005,129783,2nd,Tamil Nadu,No,21,6180.142857142857,646866
Ford,EcoSport,Ambiente,SUV,Manual,Petrol,2021,33204,1st,Delhi,Yes,5,6640.8,522097
Hyundai,i20,Era,Hatchback,Manual,Petrol,2013,173508,3rd+,Delhi,No,13,13346.76923076923,306281
Maruti Suzuki,Ertiga,ZX,MPV,Manual,Diesel,2012,78572,1st,Gujarat,No,14,5612.285714285715,795841
Maruti Suzuki,Celerio,Z,Hatchback,Manual,Petrol,2018,121607,1st,Karnataka,Yes,8,15200.875,769052
Honda,Jazz,VX,Sedan,Manual,Petrol,2020,163684,1st,Maharashtra,No,6,27280.666666666668,1489125
Tata,Nexon,XT,SUV,Manual,Electric,2022,154050,1st,Gujarat,No,4,38512.5,1524600
Kia,Carens,HTX,MPV,Manual,Diesel,2022,151316,2nd,Maharashtra,No,4,37829.0,1379400
Honda,Amaze,S,Sedan,Manual,Diesel,2015,174995,2nd,Tamil Nadu,No,11,15908.636363636364,772464
Maruti Suzuki,Ignis,Base,Hatchback,Manual,Petrol,2017,80922,1st,Andhra Pradesh,No,9,8991.333333333334,462839
Maruti Suzuki,Baleno,V,Hatchback,Manual,Diesel,2016,135822,1st,Tamil Nadu,No,10,13582.2,981750
Tata,Harrier,XZA,SUV,Manual,Petrol,2020,84550,1st,Maharashtra,No,6,14091.666666666666,803880
Jaguar,XE,R-Dynamic,Sedan,Manual,Diesel,2018,18293,1st,Kerala,No,8,2286.625,631750
Tata,Tigor,XE,Sedan,Manual,Petrol,2023,85231,1st,West Bengal,No,3,28410.333333333332,1272810
Mahindra,Thar,AX3,SUV,Manual,Diesel,2013,133414,2nd,Telangana,No,13,10262.615384615385,461191
Volkswagen,Vento,Trendline,Sedan,Manual,Petrol,2014,70650,1st,Assam,No,12,5887.5,777323
Maruti Suzuki,S-Presso,V,Hatchback,Manual,Petrol,2019,147182,1st,Telangana,No,7,21026.0,231000
Hyundai,Aura,Magna,Sedan,Manual,Petrol,2022,131500,2nd,Karnataka,No,4,32875.0,206910
Maruti Suzuki,Celerio,L,Hatchback,Manual,Petrol,2023,126007,1st,Madhya Pradesh,No,3,42002.333333333336,1162800
Hyundai,Verna,Base,Sedan,Automatic,Petrol,2008,165203,2nd,Karnataka,No,18,9177.944444444445,208634
Kia,Seltos,HTX,SUV,Manual,Diesel,2021,76815,1st,Delhi,No,5,15363.0,1909215
Toyota,Urban Cruiser,ZX,SUV,Manual,Diesel,2021,100394,1st,Maharashtra,No,5,20078.8,1590435
Ford,Aspire,Titanium,Sedan,Manual,Diesel,2016,143356,1st,Karnataka,No,10,14335.6,438900
Tata,Tiago,XZA+,Hatchback,Manual,Diesel,2023,156796,2nd,Assam,No,3,52265.333333333336,1254000
Maruti Suzuki,S-Presso,Base,Hatchback,Manual,Petrol,2021,38590,1st,Tamil Nadu,No,5,7718.0,550000
Hyundai,Venue,Magna,SUV,Manual,Diesel,2023,149197,1st,West Bengal,No,3,49732.333333333336,1472625
Maruti Suzuki,Baleno,L,Hatchback,Manual,Diesel,2021,70711,1st,Uttarakhand,Yes,5,14142.2,915847
Maruti Suzuki,WagonR,L,Hatchback,Manual,Petrol,2021,101334,1st,Uttar Pradesh,No,5,20266.8,889200
Honda,Brio,ZX,Hatchback,Automatic,Petrol,2017,108067,2nd,Gujarat,No,9,12007.444444444445,965986
Ford,EcoSport,Titanium+,SUV,Manual,Petrol,2014,54916,2nd,Delhi,No,12,4576.333333333333,243173
Hyundai,Creta,Base,SUV,Manual,Hybrid,2023,71252,2nd,Karnataka,No,3,23750.666666666668,742785
Maruti Suzuki,Alto,Base,Hatchback,Manual,Electric,2000,100079,2nd,Jammu & Kashmir,No,26,3849.1923076923076,644869
Mahindra,Scorpio,W8,SUV,Manual,Petrol,2016,91941,2nd,Karnataka,No,10,9194.1,928481
Maruti Suzuki,Swift,ZX,Sedan,Manual,Petrol,2019,24864,1st,Kerala,Yes,7,3552.0,759390
Maruti Suzuki,Dzire,Z,Sedan,Manual,Petrol,2018,167985,2nd,Jharkhand,No,8,20998.125,218901
Maruti Suzuki,Dzire,L,Sedan,Manual,Diesel,2009,23204,1st,Karnataka,No,17,1364.9411764705883,882816
Hyundai,i20,Era,Hatchback,Manual,CNG,2020,58750,2nd,Delhi,No,6,9791.666666666666,480031
Ford,Endeavour,Ambiente,SUV,Automatic,Diesel,2020,85114,2nd,Uttar Pradesh,No,6,14185.666666666666,1092070
Hyundai,Grand i10,Base,Hatchback,Manual,Diesel,2018,54202,1st,Delhi,No,8,6775.25,468930
Maruti Suzuki,Alto,V,Hatchback,Manual,Diesel,2023,142097,2nd,Delhi,No,3,47365.666666666664,871200
Hyundai,i10,Base,Hatchback,Manual,CNG,2009,141443,2nd,Karnataka,No,17,8320.176470588236,265534
Honda,WR-V,ZX,SUV,Manual,Petrol,2020,144163,1st,North East,No,6,24027.166666666668,1292760
Maruti Suzuki,S-Presso,L,Hatchback,Manual,Petrol,2023,58093,1st,Tamil Nadu,No,3,19364.333333333332,551232
Renault,Kiger,RXT,SUV,Manual,Hybrid,2022,45384,1st,Gujarat,No,4,11346.0,2182950
Tata,Tigor,XE,Sedan,Manual,Diesel,2021,169298,1st,Delhi,No,5,33859.6,548625
Maruti Suzuki,Dzire,Z,Sedan,Manual,Petrol,2020,96080,1st,Gujarat,No,6,16013.333333333334,1813754
Honda,City,VX,Sedan,Manual,Diesel,2013,142183,3rd+,Tamil Nadu,Yes,13,10937.153846153846,175628
Maruti Suzuki,Celerio,L,Hatchback,Manual,CNG,2020,157484,1st,Delhi,No,6,26247.333333333332,376200
Maruti Suzuki,Ertiga,Z,MPV,Automatic,Diesel,2013,26426,1st,Uttar Pradesh,No,13,2032.7692307692307,965580
Maruti Suzuki,Alto,V,Hatchback,Manual,Diesel,2012,136423,3rd+,Karnataka,No,14,9744.5,544500
Tata,Altroz,XT,Hatchback,Manual,Petrol,2023,49080,1st,Delhi,No,3,16360.0,770000
Hyundai,Grand i10,Base,Hatchback,Automatic,Diesel,2016,32893,1st,West Bengal,No,10,3289.3,1016400
Maruti Suzuki,Celerio,V,Hatchback,Automatic,Petrol,2019,88218,2nd,Maharashtra,No,7,12602.57142857143,907848
Honda,Jazz,S,Sedan,Manual,Diesel,2018,167189,2nd,Karnataka,No,8,20898.625,869022
Honda,City,S,Sedan,Manual,Petrol,2020,84895,2nd,Gujarat,No,6,14149.166666666666,240015
Mahindra,XUV500,W8,SUV,Automatic,Petrol,2012,126384,2nd,Delhi,No,14,9027.42857142857,276714
Maruti Suzuki,Alto,V,Hatchback,Manual,Petrol,2019,121461,2nd,Kerala,No,7,17351.571428571428,351120
Mahindra,Scorpio,W6,SUV,Automatic,CNG,2017,154024,1st,Delhi,No,9,17113.777777777777,1267323
Ford,Endeavour,Trend+,SUV,Manual,Diesel,2016,142835,2nd,Maharashtra,Yes,10,14283.5,169109
Volkswagen,Vento,Highline,Sedan,Manual,Diesel,2011,134763,2nd,Delhi,No,15,8984.2,531069
Maruti Suzuki,WagonR,L,Hatchback,Manual,Petrol,2013,151541,3rd+,Maharashtra,No,13,11657.0,424710
Renault,Kwid,RXL,Hatchback,Manual,Petrol,2023,63598,1st,Maharashtra,Yes,3,21199.333333333332,1192340
Mahindra,TUV300,W4,SUV,Automatic,Petrol,2020,66756,1st,Karnataka,Yes,6,11126.0,954276
Maruti Suzuki,S-Presso,L,Hatchback,Manual,Petrol,2022,11707,1st,Punjab,No,4,2926.75,638400
Hyundai,i10,SX,Hatchback,Manual,Diesel,2012,58318,2nd,Karnataka,No,14,4165.571428571428,648463
Maruti Suzuki,Dzire,L,Sedan,Manual,Diesel,2008,141408,2nd,Madhya Pradesh,No,18,7856.0,440304
Maruti Suzuki,Alto,L,Hatchback,Manual,Petrol,2022,50165,2nd,Goa,No,4,12541.25,768049
Volkswagen,Taigun,Trendline,SUV,Manual,Petrol,2022,169806,1st,Maharashtra,No,4,42451.5,1299375
Maruti Suzuki,WagonR,V,Hatchback,Manual,Petrol,2009,144470,3rd+,Tamil Nadu,No,17,8498.235294117647,408375
Toyota,Fortuner,ZX,SUV,Manual,Petrol,2010,17212,1st,Maharashtra,No,16,1075.75,1372140
Toyota,Fortuner,V,SUV,Manual,Petrol,2018,118278,1st,Punjab,No,8,14784.75,890268
Hyundai,Venue,Magna,SUV,Automatic,Diesel,2019,157995,1st,Karnataka,No,7,22570.714285714286,533610
Hyundai,Aura,SX(O),Sedan,Manual,Petrol,2021,30454,1st,Haryana,No,5,6090.8,1444000
Hyundai,Creta,Magna,SUV,Manual,CNG,2017,114207,2nd,Kerala,No,9,12689.666666666666,350242
Maruti Suzuki,Dzire,V,Sedan,Manual,Petrol,2021,107831,1st,Maharashtra,No,5,21566.2,1332375
Maruti Suzuki,Alto,L,Hatchback,Manual,Petrol,2011,90894,3rd+,Tamil Nadu,No,15,6059.6,492663
Maruti Suzuki,Ertiga,ZX,MPV,Manual,Petrol,2018,78926,1st,West Bengal,No,8,9865.75,1374634
Honda,Brio,V,Hatchback,Manual,CNG,2012,167566,3rd+,Karnataka,No,14,11969.0,420285
Maruti Suzuki,WagonR,V,Hatchback,Automatic,Electric,2007,71139,2nd,Madhya Pradesh,No,19,3744.157894736842,629240
Maruti Suzuki,Dzire,ZX,Sedan,Manual,Diesel,2017,37150,1st,Telangana,No,9,4127.777777777777,1264032
Hyundai,Aura,Base,Sedan,Manual,Petrol,2022,94198,2nd,Tamil Nadu,Yes,4,23549.5,892187
Hyundai,Verna,SX(O),Sedan,Manual,Petrol,2008,74233,1st,Telangana,No,18,4124.055555555556,600039
Maruti Suzuki,Ignis,ZX,Hatchback,Manual,Petrol,2017,53393,1st,Maharashtra,No,9,5932.555555555556,1085238
Maruti Suzuki,Baleno,ZX,Hatchback,Manual,Petrol,2018,147606,2nd,Telangana,No,8,18450.75,439084
Honda,WR-V,S,SUV,Manual,CNG,2019,55543,1st,Karnataka,Yes,7,7934.714285714285,644684
Hyundai,i10,SX,Hatchback,Manual,Petrol,2013,58499,1st,Tamil Nadu,No,13,4499.923076923077,789525
Ford,Figo,Trend,Sedan,Manual,Diesel,2013,21941,1st,Delhi,No,13,1687.7692307692307,1149500
Hyundai,i20,Era,Hatchback,Manual,Petrol,2010,151740,3rd+,Karnataka,No,16,9483.75,238218
Honda,Amaze,V,Sedan,Manual,Petrol,2019,174381,1st,Maharashtra,No,7,24911.571428571428,877800
Maruti Suzuki,Baleno,V,Hatchback,Manual,Petrol,2021,156371,1st,Gujarat,No,5,31274.2,742500
Maruti Suzuki,Dzire,V,Sedan,Automatic,Petrol,2022,60010,1st,Goa,No,4,15002.5,604584
Toyota,Fortuner,ZX,SUV,Manual,Petrol,2013,22049,1st,Delhi,No,13,1696.076923076923,205821
Maruti Suzuki,Dzire,L,Sedan,Manual,Diesel,2023,13530,1st,Maharashtra,No,3,4510.0,601920
Honda,Amaze,ZX,Sedan,Manual,Diesel,2018,142609,2nd,Telangana,No,8,17826.125,364989
Volkswagen,Vento,Highline+,Sedan,Automatic,Diesel,2015,111126,1st,Karnataka,No,11,10102.363636363636,543138
Toyota,Etios,G+,Sedan,Manual,Petrol,2019,72873,2nd,Maharashtra,No,7,10410.42857142857,224014
Maruti Suzuki,Alto,Z,Hatchback,Manual,Petrol,2012,82865,3rd+,Telangana,No,14,5918.928571428572,580300
Maruti Suzuki,Celerio,ZX,Hatchback,Manual,Petrol,2014,50347,2nd,Delhi,No,12,4195.583333333333,250121
Maruti Suzuki,Ignis,Z,Hatchback,Manual,Diesel,2017,171139,2nd,Maharashtra,No,9,19015.444444444445,320166
Toyota,Urban Cruiser,G,SUV,Automatic,CNG,2022,92601,1st,Telangana,Yes,4,23150.25,486399
Renault,Kiger,RXL,SUV,Manual,Hybrid,2023,57508,2nd,Gujarat,No,3,19169.333333333332,1392722
Maruti Suzuki,Ertiga,ZX,MPV,Manual,Petrol,2013,147443,2nd,Delhi,No,13,11341.76923076923,388119
Nissan,Terrano,XV,SUV,Manual,Diesel,2018,111838,1st,Karnataka,No,8,13979.75,485100
Maruti Suzuki,Alto,V,Hatchback,Manual,Petrol,2002,96303,3rd+,Maharashtra,No,24,4012.625,710572
Maruti Suzuki,Ertiga,Z,MPV,Manual,Petrol,2013,96230,2nd,Telangana,No,13,7402.307692307692,972694
Hyundai,Grand i10,Magna,Hatchback,Manual,CNG,2018,122807,1st,Delhi,No,8,15350.875,1042387
Maruti Suzuki,Baleno,L,Hatchback,Manual,Diesel,2020,87285,1st,Chandigarh,No,6,14547.5,238032
Maruti Suzuki,Ertiga,ZX,MPV,Manual,Petrol,2014,81863,2nd,Delhi,No,12,6821.916666666667,150072
Hyundai,Aura,SX(O),Sedan,Manual,Petrol,2020,149625,2nd,Telangana,No,6,24937.5,1379400
